Instrument,Position,Last,Change %,Cost Basis,Market Value,Avg Price,Daily P&L,Unrealized P&L
AMZN ,10,264.22,+3.58%,2167.57,2642.20,216.76,+91.40,+475.00
GLD,20,432.60,+0.36%,8716.29,8665.00,435.81,+44.20,-51.30
GOOG,10,341.81,+1.20%,3159.17,3418.10,315.92,+40.60,+259.00
META,7,675.18,+2.43%,4337.86,4726.26,619.69,+112.00,+388.00
MSFT,37.8,423.88,+1.96%,14442,16022.66,382.06,+307.00,+1580.00
MU,5,494.32,+2.62%,1899.90,2471.58,379.98,+63.00,+572.00
NOW,50,89.80,+5.92%,4326.91,4508.50,86.54,+269.00,+182.00
NVDA,10,208.10,+4.24%,1767.36,2081.00,176.74,+84.60,+314.00
PLTR,20,142.39,+0.58%,2757.10,2847.80,137.85,+16.40,+90.70
QQQM,20.0007,273.39,+1.93%,4914.89,5467.79,245.74,+103.00,+553.00
